date,open,high,low,close,volume
1513420200000,0.78587,0.835,0.78587,0.835,811097.06908076
1513421100000,0.81908,0.81908,0.7949,0.80003,371811.80473676
1513422000000,0.8001,0.8035,0.7949,0.79493,98342.84454945
1513422900000,0.7949,0.79907,0.79011,0.79522,108182.37826283
1513423800000,0.79035,0.7952,0.77,0.77238,109672.69334409
1513424700000,0.77461,0.805,0.76365,0.78359,218911.08150425
1513425600000,0.78359,0.78606,0.7777,0.78319,48685.774179
1513426500000,0.78045,0.815,0.777,0.78526,95932.24398461
1513427400000,0.78534,0.81,0.7853,0.78555,121804.47850148
1513428300000,0.78543,0.81,0.78543,0.79394,51508.51058984
1513429200000,0.79044,0.83,0.78555,0.79306,212093.0468352
1513430100000,0.793,0.79301,0.777,0.777,211044.05114113
1513431000000,0.777,0.77808,0.76111,0.76272,226920.6744586
1513431900000,0.7648,0.78996,0.76309,0.77714,123537.88480215
1513432800000,0.77723,0.79302,0.77002,0.77013,64375.41387926
1513433700000,0.77914,0.79899,0.768,0.7699,235442.76442149
1513434600000,0.76808,0.7864,0.765,0.76844,66836.18987999
1513435500000,0.7699,0.78549,0.765,0.77435,55751.93290377
1513436400000,0.76852,0.78999,0.761,0.76988,198669.61363842
1513437300000,0.76987,0.77719,0.762,0.76214,52564.73692491
1513438200000,0.76256,0.76551,0.76,0.76036,116185.28984436
1513439100000,0.76026,0.76115,0.75,0.75174,237024.97785963
1513440000000,0.75171,0.7599,0.75,0.75,195724.87454667
1513440900000,0.75766,0.77,0.75008,0.76997,92015.80385016
1513441800000,0.76552,0.78779,0.7601,0.78008,141866.70078767
1513442700000,0.78,0.787,0.7601,0.77364,182695.81923042
1513443600000,0.773,0.7737,0.765,0.76575,100417.04184394
1513444500000,0.76575,0.775,0.7649,0.77,138855.95123736
1513445400000,0.77009,0.77009,0.7631,0.7632,42565.70593382
1513446300000,0.7631,0.76489,0.763,0.763,57326.44323358
1513447200000,0.7624,0.765,0.76201,0.76201,64421.57206119
1513448100000,0.76201,0.76201,0.76001,0.76201,79518.5145678
1513449000000,0.762,0.77,0.762,0.76496,39191.33648876
1513449900000,0.765,0.76506,0.7601,0.761,64604.09825062
1513450800000,0.7621,0.7645,0.76,0.7615,77318.2736838
1513451700000,0.76,0.7615,0.756,0.75904,195419.19961591
1513452600000,0.756,0.76,0.75032,0.75426,138986.69280589
1513453500000,0.75426,0.75436,0.74425,0.745,204624.98101433
1513454400000,0.74337,0.75,0.732,0.742,347864.25682713
1513455300000,0.742,0.7555,0.742,0.75259,212278.98653286
1513456200000,0.75343,0.754,0.73202,0.74657,223930.41244448
1513457100000,0.74657,0.74788,0.74001,0.7401,120496.2947999
